name,id,year,runtime,certificate,poster_link,metascore,director,stars,gross,genres,imdb_rating
O Homem Duplo,tt0405296,2006,100 min,16,"https://m.media-amazon.com/images/M/MV5BOTc2ZGI2MzEtODlkNC00MGQ4LTlkYjQtMDU0YTg1YTI0NDI1L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",73,[],"['Richard Linklater', 'Keanu Reeves', 'Winona Ryder', 'Robert Downey Jr.', 'Rory Cochrane']",,[],7
Os Incríveis 2,tt3606756,2018,118 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_UY209_CR0,0,140,209_AL_.jpg",80,[],"['Brad Bird', 'Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner']",,[],7.6
Tá Chovendo Hambúrguer 2,tt1985966,2013,95 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",59,[],"['Cody Cameron', 'Kris Pearn', 'Bill Hader', 'Anna Faris', 'Will Forte', 'Neil Patrick Harris']",,[],6.3
Moana: Um Mar de Aventuras,tt3521164,I) (2016,107 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",81,[],"['Ron Clements', 'John Musker', 'Don Hall', 'Chris Williams', ""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']",,[],7.6
Homem-Aranha: No Aranhaverso,tt4633694,2018,117 min,12,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",87,[],"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']",,[],8.4
Como Treinar o Seu Dragão 3,tt2386490,2019,104 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjIwMDIwNjAyOF5BMl5BanBnXkFtZTgwNDE1MDc2NTM@._V1_UX140_CR0,0,140,209_AL_.jpg",71,[],"['Dean DeBlois', 'Jay Baruchel', 'America Ferrera', 'F. Murray Abraham', 'Cate Blanchett']",,[],7.4
Tá Chovendo Hambúrguer,tt0844471,2009,90 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",66,[],"['Phil Lord', 'Christopher Miller', 'Anna Faris', 'Bill Hader', 'Bruce Campbell', 'James Caan']",,[],6.9
Ilha dos Cachorros,tt5104604,2018,101 min,12,"https://m.media-amazon.com/images/M/MV5BZDQwOWQ2NmUtZThjZi00MGM0LTkzNDctMzcyMjcyOGI1OGRkXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX140_CR0,0,140,209_AL_.jpg",82,[],"['Wes Anderson', 'Bryan Cranston', 'Koyu Rankin', 'Edward Norton', 'Bob Balaban']",,[],7.8
Shrek,tt0126029,2001,90 min,Livre,"https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",84,[],"['Andrew Adamson', 'Vicky Jenson', 'Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow']",,[],7.9
Vidas ao Vento,tt2013293,2013,126 min,12,"https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_UY209_CR0,0,140,209_AL_.jpg",83,[],"['Hayao Miyazaki', 'Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']",,[],7.7
